"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"PC.aa.C36.6",0.0484971492769235,0.105427397318417,-0.0209894570926912,0.317811468573229,-0.142691005994367,-0.0864188086881243,0.197124214875775,0.145689750988653
"PC.aa.C38.0",0.0928191037058332,0.0533884951341202,-0.111814344381366,-0.0105852811487094,-0.203618034474357,-0.0313217825001425,0.0869243673454856,-0.187564307111046
"PC.aa.C38.3",0.108020676535406,0.0259617024091025,-0.0394063682664748,0.0314149553073263,0.00490649733885862,-0.0249328926527355,-0.0614965524179851,-0.00939403587488277
"PC.aa.C38.4",0.107755653272786,0.0466723366795038,-0.00143942964372508,0.0186918704567733,0.00272983940586599,-0.0402363037453737,0.0200647897807232,0.0416392277623079
"PC.aa.C38.5",0.109371960454921,-0.00565098418281222,0.0104855860460096,0.0126003759159564,0.0290381114454431,-0.0273117458784917,0.0241012150188264,0.0100756546333033
"PC.aa.C38.6",0.109301600676549,0.00588276959049872,-0.00136734373015326,0.0054147194872116,0.0404091250958202,-0.0298964952336602,0.0109548873159422,-0.0160358751567803
"PC.aa.C40.3",0.0656194249057764,-0.0798226291772258,-0.20188353355067,-0.115420663499761,0.104268627737194,0.126300491424995,0.278879029764832,-0.0569173530810924
"PC.aa.C40.4",0.0980358210605852,-0.0730564419460154,-0.0848641803357763,0.0282847387987759,-0.127036744679252,-0.0334886401652889,0.0981902251213219,0.0581071254702357
"PC.aa.C40.5",0.10670137581408,0.0230317963543645,0.0637642840575468,0.00939912423635408,0.0650721946681699,0.053526688386896,-0.0224707636054421,-0.0131361996852818
"PC.aa.C40.6",0.108399079825061,0.00312717252991362,-0.0207255720409473,-0.0115946192289864,-0.0556689195274547,0.0151566052485814,0.0682420178835178,0.0581976930075942
"PC.aa.C42.4",0.0553664353378973,0.0120027465854501,0.114271304677615,0.371505296766961,-0.0822908784656954,-0.00831457763354904,0.0913494964099775,0.0958121719332287
"PC.ae.C30.1",0.0739924174517135,0.0274635991028321,-0.194603027240938,0.0415090206050914,0.209296643154781,0.207569250021217,0.078555118355253,-0.0411022222196857
"PC.ae.C30.2",0.0768825190532907,0.141299223546536,0.134886865372216,-0.0981905143898047,-0.106105757218487,-0.122258733394023,0.0134906696271013,0.0664557831028331
"PC.ae.C32.1",0.0832803764022819,0.0965895307615336,-0.0481505071037738,0.0355622345436544,-0.13043003273202,-0.139402936904069,-0.256371044175965,-0.0163843117255801
"PC.ae.C32.2",0.100848062744822,0.0900029094686905,0.0706178165557284,-0.0120227070474901,-0.00860928387660287,0.0562954884985075,-0.0556720798140534,-0.0337311693519449
"PC.ae.C34.0",0.107395347954692,-0.00824972491151335,0.0528940761062319,0.0324623652049865,-0.0295197418887147,0.0637678949962367,0.0537598236744904,0.040877789724905
"PC.ae.C34.1",0.108011822065949,0.045107813997227,0.0053421103445259,0.00214818853108982,0.0142664345244711,-0.035763943775825,0.00669848318813161,0.0470546205607701
"PC.ae.C34.2",0.103996160105424,0.0739465301125226,-0.0200226871834606,0.0265966757929527,0.00568777687733417,-0.0728754492033028,0.0498259545192646,0.0302956316887198
"PC.ae.C34.3",0.100885108817241,0.0445135302267837,-0.0525383968624659,0.12366610322766,0.0923778494835411,-0.0301961523311403,-0.0638055746552636,0.0137356131924498
"PC.ae.C36.0",0.105694783980469,-0.0118251882455586,0.0582699634552748,-0.000632055452055896,-0.0481521742432559,0.116376158299367,-0.0194535086234953,-0.0290505718262507
"PC.ae.C36.1",0.10816087477943,0.0391688014118894,-0.0103906153581402,0.0332462026951107,-0.00956432715161879,-0.004886737961604,0.0384623514189412,0.00580652834118473
"PC.ae.C36.2",0.104725790570324,0.0614041818769221,-0.0345287774576249,0.0105699773840696,0.0225871035209998,-0.0963552270908759,0.00562687208539804,-0.00835169774716813
"PC.ae.C36.3",0.0857125163704762,0.129959406615208,-0.0260157935952915,-0.0694683515234946,-0.0293944837372627,-0.186265535048562,0.0860010760631951,-0.00691558009969938
"PC.ae.C36.4",0.0982413214742362,0.110137910772073,-0.0286586984360424,-0.022677499686446,0.0340097542245792,-0.0654560987803575,0.0593380474907478,0.000234234865601352
"PC.ae.C36.5",0.101967989725821,0.0752248913377961,-0.0764120345327926,0.0351539707620935,0.0523768883286282,-0.0612607472196819,-0.0102354159247732,0.0354606893391044
"PC.ae.C38.0",0.108816807403043,-0.00655207006527758,-0.0272805774628886,0.0298186224011938,0.0182663952697932,-0.0192108733506345,0.0574945799030195,-0.00392328953591697
"PC.ae.C38.1",0.0950262999848331,-0.0646950544690248,-0.0780254188264856,0.0527185841569623,0.0852558159555252,-0.170781891981601,-0.105784535183921,0.0711592710031809
"PC.ae.C38.2",0.106257401214602,0.0234308157543009,-0.01403559618842,0.0205130398417804,0.0931470096572877,0.0769593670811613,-0.0268792770578552,-0.0355275333323124
"PC.ae.C38.3",0.107665869270776,-0.0337250492416843,0.0233561265325426,0.0226325412348595,0.0319451782201559,-0.0474151748914031,0.0562231849579718,-0.0104919498064079
"PC.ae.C38.4",0.104504170998412,0.0666825218667189,-0.0279566064125359,0.0153138449613721,0.0709815575974414,-0.0143007560460762,0.0614583598106566,-0.00976623258156611
"PC.ae.C38.5",0.102751861301175,0.0879015050771721,-0.0221659690929709,-0.0223589638947466,-0.052573883967343,-0.0172612779158576,-0.0317281286101024,-0.0682647310231666
"PC.ae.C38.6",0.10015072441302,0.06180165386156,-0.00452800931678956,0.0167681755365956,-0.000857298999238395,-0.162291631835127,0.1128655194516,0.0180465996878602
"PC.ae.C40.1",0.106485319749605,-0.0311640519248663,-0.0324374718869725,0.0686384888737368,0.0563732948086245,0.0480504294086533,-0.0102123504206861,-0.0224707165102478
"PC.ae.C40.2",0.102112003309044,-0.0543252460170117,-0.058907738698896,-0.106123251296011,0.0541255592950728,0.0651085302316669,-0.00948034451135218,-0.0527333334571666
"PC.ae.C40.3",0.0971023831310526,0.0138772779289223,0.0267862498185856,0.176861029275646,-0.00686271547109812,0.116071644230677,-0.106286514906853,-0.154105692603129
"PC.ae.C40.4",0.104233440284943,-0.0546168121452404,-0.00813461023970576,0.0781100479251304,0.0181597194320074,0.0222962407756818,0.109832325890094,0.0660839506228016
"PC.ae.C40.5",0.100361415916009,0.00117154427694758,0.0550356103701891,-0.100971927225353,0.13049506434478,-0.0744452804572433,0.0928131001984667,0.059708878585946
"PC.ae.C40.6",0.0990279664117673,0.0703737539128137,0.0176690650562516,0.0830942291186252,0.048099897700215,0.110700195568853,-0.127835852171915,0.0175775137397007
"PC.ae.C42.1",0.0782564185088162,0.00209003366997804,-0.153130408875186,-0.160169071159688,0.183057534804833,-0.182675403720431,0.0712222201003481,-0.0629536051211049
"PC.ae.C42.2",0.0988173491235383,-0.0333616286716973,0.000274081629171631,0.0924223111731817,0.12415258892544,0.125258537906113,-0.108895234143243,0.0132654893851227
"PC.ae.C42.3",0.103455140207133,-0.0272661062809681,-0.00237826544934825,0.0352973879806166,0.126099032627938,0.102554309550472,-0.0339125983658593,-0.0245543433982982
"SM..OH..C14.1",0.0949923476128718,0.132372777087397,0.00726758456166256,0.021755442967087,0.000260329432213053,-0.0404307419228945,-0.0377927525961261,-0.00912035679735217
"SM..OH..C16.1",0.106047606684996,0.0411686733086669,-0.0533885250729494,-0.0423347714285879,0.0149955672303242,0.00251864466280292,0.0935953233027318,-0.0445366940676037
"SM..OH..C22.1",0.0840797289020859,-0.10038330031962,-0.0220958692384446,0.025093579299687,-0.201641758273295,0.186622341978583,0.0327628965840271,-0.0230275487186902
"SM..OH..C22.2",0.0958794589943348,0.0336420266046432,0.150237441527575,0.0709482537635913,0.0166601690928064,0.133582647159912,-0.0857879959230814,0.0560272111701791
"SM..OH..C24.1",0.0850301831928164,-0.145866919529683,-0.0885850845658489,0.0134635271982327,-0.104305278702264,-0.0683795804532892,0.0577032579910175,-0.0543159380100615
"SM.C16.0",0.105757322500014,0.0673644918304585,-0.0239344065059001,0.0185124741214964,0.0136512369236191,-0.0382683923914027,0.0150791808532489,-0.124555899078171
"SM.C16.1",0.0658930427089834,0.202649353130663,-0.0651436816977084,0.0713940506428375,0.0485019178239324,-0.0754093843955976,-0.0211814907624289,-0.0739234953451303
"SM.C18.0",0.108202058695668,0.0287490300766285,0.00933490094681314,0.0619635343089491,-0.00827130644513245,-0.00260198017946224,0.00987975305953953,0.0212818443027246
"SM.C18.1",0.0975996997717963,0.115987524291462,-0.049082715670798,-0.0049586577492249,0.0196693223104725,-0.0537426211795653,0.0233738063197799,-0.0265885651525843
"SM.C20.2",0.0369459827139688,0.170914610874874,-0.0864135018746151,0.0324437319511399,0.218147782609912,0.176803432969711,0.261622761054854,-0.186496756955148
"SM.C24.0",0.0937833450439001,-0.0915263869634819,-0.0165896926613451,0.105233148362121,-0.102829540433086,0.133727949945054,-0.0500148908711187,-0.000602763711555559
"SM.C24.1",0.106432505942117,-0.0262739018211054,0.000274033448397501,0.0845057162990944,-0.0431102704101415,0.0489316780276187,-0.0442526888741366,0.0154311989295655
"SM.C26.0",0.101165117057469,0.000596792980971296,0.116822868832619,0.000804513545355584,0.0305002595566313,-0.146423032039341,-0.0406614048686047,0.0839102424211526
"SM.C26.1",0.0942934450213971,0.0290876507075229,0.0162488762690702,0.052277064032384,-0.175451863578962,0.0284771743181567,-0.22718414541519,-0.0838213951515776
